game,winner,turns,victoryType
alexander,Indians,16,cultural
alexander,Alexander,11,cultural
alexander,Persians,19,cultural
alexander,Alexander,16,cultural
alexander,Indians,12,territorial
alexander,Egyptians,5,cultural
alexander,Alexander,12,territorial
alexander,Persians,13,cultural
alexander,Alexander,17,cultural
alexander,Indians,17,cultural
alexander,Egyptians,10,cultural
alexander,Indians,16,territorial
alexander,Indians,15,cultural
alexander,Indians,13,territorial
alexander,Indians,18,cultural
alexander,Persians,13,cultural
alexander,Indians,13,territorial
alexander,Egyptians,6,territorial
alexander,Indians,13,territorial
alexander,Egyptians,13,cultural
alexander,Alexander,18,cultural
alexander,Indians,17,territorial
alexander,Indians,6,cultural
alexander,Indians,6,cultural
alexander,Persians,18,cultural
alexander,Persians,8,territorial
alexander,Persians,8,territorial
alexander,Alexander,8,territorial
alexander,Persians,16,territorial
alexander,Egyptians,12,territorial
alexander,Alexander,11,cultural
alexander,Egyptians,5,territorial
alexander,Egyptians,5,cultural
alexander,Persians,6,cultural
alexander,Egyptians,17,territorial
alexander,Egyptians,18,cultural
alexander,Indians,13,cultural
alexander,Indians,10,territorial
alexander,Egyptians,11,territorial
alexander,Persians,18,cultural
alexander,Alexander,7,cultural
alexander,Persians,15,cultural
alexander,Indians,19,cultural
alexander,Persians,14,territorial
alexander,Alexander,14,cultural
alexander,Persians,6,territorial
alexander,Alexander,11,cultural
alexander,Alexander,14,territorial
alexander,Alexander,6,territorial
alexander,Egyptians,12,territorial
alexander,Alexander,13,territorial
alexander,Indians,13,territorial
alexander,Indians,9,territorial
alexander,Alexander,9,territorial
alexander,Persians,18,territorial
alexander,Alexander,8,territorial
alexander,Alexander,12,territorial
alexander,Persians,7,territorial
alexander,Alexander,11,territorial
alexander,Indians,6,territorial
alexander,Alexander,7,territorial
alexander,Egyptians,6,territorial
alexander,Alexander,7,cultural
alexander,Alexander,19,territorial
alexander,Indians,16,cultural
alexander,Alexander,15,cultural
alexander,Persians,7,cultural
alexander,Indians,19,territorial
alexander,Egyptians,13,territorial
alexander,Indians,12,territorial
alexander,Egyptians,13,territorial
alexander,Indians,9,territorial
alexander,Persians,15,territorial
alexander,Indians,17,territorial
alexander,Indians,9,territorial
alexander,Indians,12,territorial
alexander,Persians,14,territorial
alexander,Indians,13,cultural
alexander,Indians,9,territorial
alexander,Alexander,17,territorial
alexander,Persians,12,territorial
alexander,Persians,9,territorial
alexander,Indians,12,territorial
alexander,Alexander,15,territorial
alexander,Indians,13,territorial
alexander,Alexander,19,territorial
alexander,Alexander,17,territorial
alexander,Egyptians,10,territorial
alexander,Egyptians,16,cultural
alexander,Alexander,5,territorial
alexander,Indians,16,territorial
alexander,Egyptians,15,territorial
alexander,Indians,10,cultural
alexander,Egyptians,9,territorial
alexander,Egyptians,6,territorial
alexander,Persians,9,territorial
alexander,Indians,15,territorial
alexander,Indians,19,cultural
alexander,Alexander,13,territorial
alexander,Egyptians,11,cultural
alexander,Alexander,5,territorial
alexander,Persians,11,cultural
alexander,Persians,9,cultural
alexander,Egyptians,15,territorial
alexander,Persians,6,territorial
alexander,Egyptians,17,territorial
alexander,Egyptians,5,territorial
alexander,Egyptians,15,territorial
alexander,Egyptians,19,territorial
alexander,Egyptians,19,cultural
alexander,Alexander,14,cultural
alexander,Egyptians,6,cultural
alexander,Persians,9,territorial
alexander,Alexander,10,territorial
alexander,Egyptians,12,territorial
alexander,Alexander,16,territorial
alexander,Indians,8,territorial
alexander,Persians,17,cultural
alexander,Alexander,13,territorial
alexander,Alexander,14,cultural
alexander,Egyptians,10,cultural
alexander,Persians,7,cultural
alexander,Egyptians,6,territorial
alexander,Indians,6,territorial
alexander,Persians,18,territorial
alexander,Indians,5,cultural
alexander,Indians,11,cultural
alexander,Alexander,14,cultural
alexander,Egyptians,14,territorial
alexander,Alexander,19,cultural
alexander,Persians,12,cultural
alexander,Persians,9,territorial
alexander,Egyptians,9,cultural
alexander,Indians,17,territorial
alexander,Indians,5,territorial
alexander,Indians,11,cultural
alexander,Persians,15,cultural
alexander,Egyptians,19,cultural
alexander,Alexander,16,cultural
alexander,Persians,13,cultural
alexander,Persians,18,cultural
alexander,Persians,10,cultural
alexander,Alexander,6,territorial
alexander,Alexander,16,cultural
alexander,Indians,19,cultural
alexander,Alexander,18,cultural
alexander,Egyptians,15,territorial
alexander,Indians,6,cultural
alexander,Egyptians,10,territorial
alexander,Alexander,10,cultural
alexander,Alexander,12,cultural
alexander,Egyptians,8,territorial
alexander,Alexander,10,territorial
alexander,Persians,15,territorial
alexander,Persians,11,territorial
alexander,Alexander,19,territorial
alexander,Egyptians,7,territorial
alexander,Alexander,18,territorial
alexander,Egyptians,18,cultural
alexander,Persians,12,cultural
alexander,Alexander,19,territorial
alexander,Indians,19,territorial
alexander,Persians,9,territorial
alexander,Indians,12,territorial
alexander,Persians,9,territorial
alexander,Alexander,17,cultural
alexander,Alexander,5,territorial
alexander,Indians,11,territorial
alexander,Persians,9,cultural
alexander,Persians,7,cultural
alexander,Egyptians,12,cultural
alexander,Indians,10,territorial
alexander,Alexander,19,territorial
alexander,Persians,7,territorial
alexander,Egyptians,9,cultural
alexander,Alexander,16,cultural
alexander,Persians,7,territorial
alexander,Persians,9,territorial
alexander,Indians,11,territorial
alexander,Persians,17,cultural
alexander,Indians,19,cultural
alexander,Indians,5,cultural
alexander,Persians,6,cultural
alexander,Persians,9,territorial
alexander,Egyptians,6,cultural
alexander,Persians,14,territorial
alexander,Alexander,11,territorial
alexander,Egyptians,9,cultural
alexander,Persians,16,cultural
alexander,Alexander,15,territorial
alexander,Indians,12,territorial
alexander,Indians,15,cultural
alexander,Persians,11,cultural
alexander,Alexander,15,territorial
alexander,Egyptians,12,cultural
alexander,Indians,18,territorial
alexander,Persians,7,cultural
alexander,Persians,14,cultural
alexander,Indians,16,cultural
alexander,Egyptians,12,territorial
alexander,Indians,11,territorial
alexander,Indians,16,cultural
alexander,Egyptians,11,territorial
alexander,Egyptians,6,territorial
alexander,Egyptians,18,cultural
alexander,Egyptians,13,cultural
alexander,Indians,9,cultural
alexander,Egyptians,7,cultural
alexander,Persians,7,territorial
alexander,Persians,19,territorial
alexander,Alexander,15,cultural
alexander,Persians,18,territorial
alexander,Alexander,7,cultural
alexander,Persians,15,territorial
alexander,Persians,11,territorial
alexander,Egyptians,15,territorial
alexander,Alexander,10,cultural
alexander,Alexander,18,cultural
alexander,Persians,16,territorial
alexander,Egyptians,6,cultural
alexander,Persians,19,cultural
alexander,Egyptians,14,cultural
alexander,Persians,8,territorial
alexander,Persians,9,cultural
alexander,Egyptians,7,territorial
alexander,Egyptians,10,territorial
alexander,Persians,15,cultural
alexander,Indians,6,cultural
alexander,Alexander,19,territorial
alexander,Alexander,19,cultural
alexander,Alexander,10,cultural
alexander,Egyptians,15,cultural
alexander,Alexander,8,cultural
alexander,Persians,11,territorial
alexander,Persians,19,territorial
alexander,Persians,6,territorial
alexander,Alexander,16,territorial
alexander,Persians,14,cultural
alexander,Egyptians,5,cultural
alexander,Egyptians,16,cultural
alexander,Alexander,7,cultural
alexander,Egyptians,5,territorial
alexander,Persians,5,territorial
alexander,Egyptians,13,cultural
alexander,Persians,16,cultural
alexander,Persians,9,territorial
alexander,Alexander,10,cultural
alexander,Egyptians,17,territorial
alexander,Egyptians,12,territorial
alexander,Alexander,10,cultural
alexander,Indians,19,cultural
alexander,Persians,18,territorial
alexander,Persians,5,cultural
alexander,Egyptians,17,cultural
alexander,Alexander,11,cultural
alexander,Persians,19,cultural
alexander,Alexander,18,cultural
alexander,Egyptians,17,territorial
alexander,Alexander,9,territorial
alexander,Indians,17,territorial
alexander,Persians,11,territorial
alexander,Egyptians,14,territorial
alexander,Alexander,18,cultural
alexander,Egyptians,8,territorial
alexander,Persians,14,territorial
alexander,Alexander,9,territorial
alexander,Persians,17,cultural
alexander,Indians,10,cultural
alexander,Egyptians,13,territorial
alexander,Indians,11,cultural
alexander,Indians,17,cultural
alexander,Indians,18,territorial
alexander,Egyptians,17,cultural
alexander,Persians,15,territorial
alexander,Egyptians,19,territorial
alexander,Alexander,8,territorial
alexander,Indians,9,cultural
alexander,Indians,16,cultural
alexander,Indians,17,territorial
alexander,Alexander,17,territorial
alexander,Persians,11,cultural
alexander,Indians,18,territorial
alexander,Indians,17,territorial
alexander,Indians,14,cultural
alexander,Persians,6,territorial
alexander,Alexander,14,territorial
alexander,Indians,9,territorial
alexander,Indians,9,territorial
alexander,Alexander,13,cultural
alexander,Egyptians,17,cultural
alexander,Alexander,12,cultural
alexander,Persians,19,cultural
alexander,Egyptians,9,cultural
alexander,Egyptians,6,cultural
alexander,Indians,6,cultural
alexander,Alexander,17,cultural
alexander,Alexander,9,territorial
alexander,Indians,15,territorial
alexander,Alexander,7,cultural
alexander,Egyptians,16,territorial
alexander,Persians,19,territorial
alexander,Persians,11,territorial
alexander,Indians,19,cultural
alexander,Alexander,7,territorial
alexander,Indians,13,cultural
alexander,Egyptians,14,territorial
alexander,Persians,14,territorial
alexander,Egyptians,15,cultural
alexander,Alexander,12,territorial
alexander,Alexander,19,cultural
alexander,Persians,11,territorial
alexander,Persians,8,cultural
alexander,Persians,19,cultural
alexander,Egyptians,16,cultural
alexander,Indians,10,territorial
alexander,Indians,19,cultural
alexander,Egyptians,13,territorial
alexander,Indians,15,territorial
alexander,Indians,15,territorial
alexander,Egyptians,8,territorial
alexander,Alexander,10,cultural
alexander,Egyptians,17,territorial
alexander,Alexander,18,territorial
alexander,Persians,18,cultural
alexander,Alexander,18,territorial
alexander,Indians,9,territorial
alexander,Indians,9,territorial
alexander,Egyptians,15,cultural
alexander,Indians,10,cultural
alexander,Indians,18,cultural
alexander,Egyptians,19,territorial
alexander,Indians,8,cultural
alexander,Alexander,6,cultural
alexander,Persians,19,territorial
alexander,Persians,18,territorial
alexander,Egyptians,9,cultural
alexander,Persians,15,cultural
alexander,Alexander,16,territorial
alexander,Egyptians,7,cultural
alexander,Indians,15,territorial
alexander,Indians,14,territorial
alexander,Persians,10,cultural
alexander,Persians,14,territorial
alexander,Alexander,7,territorial
alexander,Persians,7,territorial
alexander,Indians,14,cultural
alexander,Alexander,6,cultural
alexander,Indians,6,territorial
alexander,Persians,12,cultural
alexander,Persians,18,territorial
alexander,Persians,14,cultural
alexander,Indians,9,territorial
alexander,Indians,16,territorial
alexander,Egyptians,10,territorial
alexander,Alexander,18,territorial
alexander,Alexander,7,territorial
alexander,Indians,8,territorial
alexander,Egyptians,13,territorial
alexander,Persians,15,cultural
alexander,Alexander,15,territorial
alexander,Egyptians,11,cultural
alexander,Indians,7,territorial
alexander,Alexander,6,cultural
alexander,Alexander,18,territorial
alexander,Egyptians,7,territorial
alexander,Egyptians,18,territorial
alexander,Indians,5,cultural
alexander,Persians,8,cultural
alexander,Egyptians,11,territorial
alexander,Egyptians,5,territorial
alexander,Indians,18,territorial
alexander,Persians,5,cultural
alexander,Egyptians,13,cultural
alexander,Indians,12,territorial
alexander,Alexander,6,cultural
alexander,Persians,8,cultural
alexander,Indians,9,cultural
alexander,Persians,7,territorial
alexander,Indians,6,territorial
alexander,Alexander,8,cultural
alexander,Indians,10,cultural
alexander,Persians,12,territorial
alexander,Indians,5,territorial
alexander,Indians,6,cultural
alexander,Persians,6,cultural
alexander,Egyptians,17,cultural
alexander,Alexander,13,territorial
alexander,Egyptians,19,territorial
alexander,Egyptians,18,cultural
alexander,Persians,14,territorial
alexander,Persians,13,territorial
alexander,Alexander,8,cultural
alexander,Indians,10,cultural
alexander,Indians,6,cultural
alexander,Egyptians,16,cultural
alexander,Indians,6,territorial
alexander,Indians,13,territorial
alexander,Persians,19,territorial
alexander,Alexander,15,cultural
alexander,Egyptians,13,territorial
alexander,Alexander,6,cultural
alexander,Indians,13,cultural
alexander,Indians,9,cultural
alexander,Alexander,14,territorial
alexander,Persians,7,territorial
alexander,Alexander,19,cultural
alexander,Egyptians,14,cultural
alexander,Persians,5,territorial
alexander,Indians,13,cultural
alexander,Indians,8,cultural
alexander,Indians,18,territorial
alexander,Alexander,11,cultural
alexander,Persians,17,territorial
alexander,Alexander,7,cultural
alexander,Egyptians,14,territorial
alexander,Alexander,16,cultural
alexander,Persians,5,territorial
alexander,Persians,6,cultural
alexander,Alexander,19,cultural
alexander,Egyptians,14,territorial
alexander,Egyptians,19,cultural
alexander,Indians,8,territorial
alexander,Egyptians,16,territorial
alexander,Alexander,16,territorial
alexander,Persians,16,territorial
alexander,Indians,11,cultural
alexander,Alexander,17,territorial
alexander,Persians,12,cultural
alexander,Egyptians,14,cultural
alexander,Indians,9,cultural
alexander,Alexander,16,territorial
alexander,Alexander,19,cultural
alexander,Persians,11,cultural
alexander,Persians,6,cultural
alexander,Indians,13,territorial
alexander,Persians,16,cultural
alexander,Persians,18,cultural
alexander,Alexander,15,territorial
alexander,Persians,12,territorial
alexander,Egyptians,14,cultural
alexander,Alexander,12,cultural
alexander,Alexander,6,cultural
alexander,Indians,19,cultural
alexander,Egyptians,17,cultural
alexander,Egyptians,18,territorial
alexander,Persians,17,territorial
alexander,Indians,15,territorial
alexander,Persians,8,cultural
alexander,Alexander,8,territorial
alexander,Persians,6,territorial
alexander,Persians,12,territorial
alexander,Persians,6,cultural
alexander,Alexander,16,cultural
alexander,Indians,7,cultural
alexander,Indians,6,territorial
alexander,Persians,18,territorial
alexander,Alexander,13,territorial
alexander,Alexander,19,territorial
alexander,Alexander,8,cultural
alexander,Persians,10,cultural
alexander,Indians,11,cultural
alexander,Alexander,16,cultural
alexander,Persians,16,cultural
alexander,Persians,14,cultural
alexander,Alexander,11,territorial
alexander,Egyptians,15,cultural
alexander,Indians,6,cultural
alexander,Persians,5,cultural
alexander,Alexander,18,cultural
alexander,Persians,14,cultural
alexander,Alexander,7,cultural
alexander,Indians,18,territorial
alexander,Alexander,16,territorial
alexander,Alexander,13,cultural
alexander,Persians,7,territorial
alexander,Persians,11,territorial
alexander,Egyptians,7,cultural
alexander,Indians,14,cultural
alexander,Egyptians,18,cultural
alexander,Indians,10,territorial
alexander,Alexander,13,territorial
alexander,Persians,10,cultural
alexander,Egyptians,15,territorial
alexander,Egyptians,18,cultural
alexander,Alexander,13,cultural
alexander,Persians,12,cultural
alexander,Persians,13,cultural
alexander,Egyptians,11,territorial
alexander,Alexander,13,territorial
alexander,Persians,16,cultural
alexander,Persians,10,cultural
alexander,Egyptians,8,cultural
alexander,Persians,16,territorial
alexander,Egyptians,6,territorial
alexander,Alexander,5,territorial
alexander,Egyptians,17,territorial
alexander,Persians,8,cultural
alexander,Persians,5,cultural
alexander,Egyptians,11,territorial
alexander,Egyptians,15,territorial
alexander,Indians,17,territorial
alexander,Alexander,10,territorial
alexander,Egyptians,10,cultural
alexander,Persians,8,territorial
alexander,Alexander,9,cultural
alexander,Alexander,8,cultural
alexander,Persians,16,territorial
alexander,Indians,5,territorial
alexander,Indians,10,cultural
alexander,Indians,7,territorial
alexander,Alexander,18,territorial
alexander,Egyptians,11,territorial
alexander,Egyptians,10,cultural
alexander,Alexander,5,territorial
alexander,Persians,10,territorial
alexander,Alexander,18,territorial
alexander,Indians,6,territorial
alexander,Egyptians,16,territorial
alexander,Indians,18,territorial
alexander,Egyptians,5,territorial
alexander,Persians,17,cultural
alexander,Alexander,7,territorial
alexander,Egyptians,16,territorial
alexander,Egyptians,14,cultural
alexander,Persians,12,cultural
alexander,Alexander,18,cultural
alexander,Alexander,16,cultural
alexander,Alexander,19,cultural
alexander,Alexander,13,territorial
alexander,Indians,7,territorial
alexander,Indians,18,cultural
alexander,Indians,9,cultural
alexander,Egyptians,14,territorial
alexander,Indians,7,cultural
alexander,Persians,16,territorial
alexander,Persians,6,territorial
alexander,Persians,9,territorial
alexander,Persians,17,cultural
alexander,Egyptians,15,cultural
alexander,Indians,11,territorial
alexander,Egyptians,6,territorial
alexander,Persians,9,territorial
alexander,Alexander,19,cultural
alexander,Alexander,6,territorial
alexander,Alexander,9,cultural
alexander,Indians,13,territorial
alexander,Persians,8,cultural
alexander,Alexander,17,territorial
alexander,Alexander,11,territorial
alexander,Alexander,6,territorial
alexander,Alexander,5,cultural
alexander,Alexander,19,territorial
alexander,Alexander,5,territorial
alexander,Alexander,16,cultural
alexander,Persians,7,territorial
alexander,Alexander,10,cultural
alexander,Egyptians,9,territorial
alexander,Indians,11,cultural
alexander,Alexander,9,territorial
alexander,Alexander,7,cultural
